19.267	42.468	1.617	2.904	14.885	201.686	261.039	304.116	96.353	5.601	10.655	49.087
10.148	10.294	17.06	0.267	18.105	146.074	217.882	284.552	42.626	49.97	50.943	9.977
0.002	6.138	5.12	24.872	5.425	161.521	295.491	304.171	237.564	46.001	16.879	2.99
0.035	0.081	54.735	0.02	6.467	165.169	236.094	264.024	108.807	7.834	0.095	30.547
0.405	12.542	11.902	0.034	69.313	262.18	280.594	395.332	87.504	68.068	0.893	24.766
15.363	5.938	1.064	14.519	1.016	183.161	339.285	280.259	16.71	3.034	6.835	0.17
0.141	4.878	0.002	6.078	13.606	80.942	191.843	389.557	249.811	26.525	6.559	0.144
0.002	17.888	51.993	2.695	15.442	160.333	387.2	230.995	251.961	69.913	0.011	6.169
24.71	43.492	18.514	16.386	5.51	160.995	570.845	329.928	256.15	109.165	2.727	0.144
41.046	0.996	71.381	8.296	9.641	175.255	395.459	240.252	248.483	33.244	1.039	1.677
2.195	9.937	6.059	26.576	0.965	29.375	270.333	290.851	167.121	66.503	16.825	0.144
24.56	0.081	1.139	11.859	9.39	87.296	223.546	229.04	169.669	67.438	73.11	85.262
19.228	30.692	28.452	8.226	11.93	95.066	212.068	311.586	239.134	43.907	70.462	0.144
0.735	30.773	0.002	0.253	39.298	124.906	254.845	346.947	236.143	90.601	0.011	0.144
0.002	20.094	0.002	0.472	34.981	162.038	375.5	194.76	72.79	9.926	0.061	0.339
11.151	0.083	21.013	23.774	26.516	260.35	223.499	284.193	79.42	109.174	0.281	0.144
10.065	14.071	2.576	6.153	26.488	304.373	109.182	333.918	130.128	29	1.191	0.212
